Site;Sample; C14 age;error;State;Cal age;error;County / region;UTM Zone;East;North
RS-A-27;Beta 144246;30;50;RS;59;84;Vacaria;22J;506338;6846729
RS-A-27;Beta 144243;40;60;RS;98;114;Vacaria;22J;506338;6846729
Veneza;Beta-260341;60;40;RO ;100;115;Porto Velho;20L;400484;9031681
RS-S-337;Beta 165622;60;50;RS;105;113;Santo Antonio da Patrulha;22J;545747;6699710
RS-AN-3;Beta 166586;80;50;RS;120;107;Bom Jesus;22J;555456;6828282
PR-FO-6;SI-5041;85;60;PR;122;108;Guaíra;22J;778801;7333593
PR-FI-104;SI-5030;85;75;PR;124;110;Foz do Iguaçu;21J;744414;7175482
GO-JU-41;n/a;100;50;GO;129;106;Serranópolis;22K;398462;7975631
MT-PO-03;?;100;50;MT (Pantanal);130;102;Poconé;21K;539974;8201533
MT-RN-36;?;100;50;MT;130;102;Poxoréu;21L;779554;8247227
Teotônio;Beta-323283;100;50;RO ;130;102;Porto Velho;20L;400484;9031681
Tapera do Gimo;Beta 332611;90;30;MS;131;98;Miranda;21K;564792;7762123
Abrigo do Sol MT-GU-01;SI-3105;115;55;MT;134;101;Vila Bela Santissima Trindade;21L;182663;8338894
Porto da Mina PA-SA-5;Beta 439361;131;3;PA;135;94;Salgado;23M;237990;9931211
ACH-SU-02-12;Beta236427;110;40;SC;136;98;Águas de Chapecó;22J;303335;7003689
Capelinha 1;Beta 184618;100;30;SP;136;95;Cajati;22J;792506;7262564
Pedra do Dioguinho;Beta 524185;100;30;SP;136;95;Ribeirão Bonito;22K;791529;7557017
RS-PE-31;Beta 276193;110;40;RS;136;98;Pinhal da Serra;22J;483116;6916602
ACH-LP-07;GIF-13118;105;30;SC;137;95;Águas de Chapecó;22J;303335;7003689
Vista Alegre I;Beta-294103;110;30;RO ;137;95;Porto Velho;20L;400484;9031681
Suruaca 20;LACUFF-160266;118;21;ES;138;93;Linhares;24K;388159;7856814
Vista Alegre I;Beta-294101;120;30;RO ;138;95;Porto Velho;20L;400484;9031681
ACH-LP-07;GIF-13119;115;30;SC;139;95;Águas de Chapecó;22J;303335;7003689
Itacoatiara I;Bah-1527;100;10;BA;139;93;Rodelas;24L;525639;9022157
Lapa dos Bichos;CDTN 2637;130;20;MG;139;94;Januária;23L;567715;8288668
Poropu;7276;112;3;PA;139;90;Oriximiná;21M;626459;9805236
RS-MJ-50b;SI-817;110;100;RS;139;116;Santa Maria;22J;227566;6711719
Vista Alegre I;Beta-294104;110;6;RO ;139;91;Porto Velho;20L;400484;9031681
